method,split,accuracy,min_sim,regionality,alpha,useTermsSimilarity,N
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.398094688221709,0.1,1.0,0.0,True,8
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.39223091448610736,0.1,1.0,0.0,True,9
"CLIP,ms=0.1,r=1,al=0.0,ts=True",4,0.3853234466888264,0.1,1.0,0.0,True,10
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.898,0.1,8.0,0.0,True,1
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.8442211055276382,0.1,8.0,0.0,True,2
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.7776280323450134,0.1,8.0,0.0,True,3
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.7205731832139202,0.1,8.0,0.0,True,4
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.681704260651629,0.1,8.0,0.0,True,5
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.6474381941956288,0.1,8.0,0.0,True,6
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.6233641876795404,0.1,8.0,0.0,True,7
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.6009321293329449,0.1,8.0,0.0,True,8
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.5818181818181818,0.1,8.0,0.0,True,9
"CLIP,ms=0.1,r=8,al=0.0,ts=True",0,0.5685670261941448,0.1,8.0,0.0,True,10
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.884,0.1,8.0,0.0,True,1
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.8226452905811623,0.1,8.0,0.0,True,2
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.7647849462365591,0.1,8.0,0.0,True,3
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.7084607543323139,0.1,8.0,0.0,True,4
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.6673614005835765,0.1,8.0,0.0,True,5
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.6363636363636364,0.1,8.0,0.0,True,6
"CLIP,ms=0.1,r=8,al=0.0,ts=True",1,0.6128722382324687,0.1,8.0,0.0,True,7
